Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Egypt, Arab Rep.",EGY,37.7277439174472,26.7432504098883,39.2081668132774,30.7050395139257,34.466,24.2174,38.889,43.0667,28.8895,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Estonia,EST,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Fiji,FJI,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Finland,FIN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,France,FRA,56.0247563660658,63.6093,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Gabon,GAB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Georgia,GEO,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Germany,DEU,72.9961626516461,84.1947008652504,74.927518390541,63.5776498444868,92.847945,64.9567612,80.371348,60.974171,68.4074947,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Ghana,GHA,..,..,..,..,..,0.0885,0.3531,0.2582,0.9627,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Greece,GRC,59.9235199740655,42.6402544892321,38.5055963386212,29.18649706278,30.9751,28.751,32.3275,27.8337,31.6024,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Greenland,GRL,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Grenada,GRD,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Guam,GUM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Guinea,GIN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Guyana,GUY,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Haiti,HTI,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Honduras,HND,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Hong Kong SAR, China",HKG,44.8785193832639,64.9529757567632,40.8758724146427,43.3825684339181,59.3517,37.1944,50.0677,74.8615,62.3814,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Hungary,HUN,49.0151778233452,42.0679088254334,40.4814664892229,32.9047880430079,34.1801,26.3573,40.4078,27.4037,39.4265,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Iceland,ISL,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,India,IND,45.1432401713636,45.9662724641824,46.2890841379545,47.1366776809853,56.771907794421,56.2149944736287,74.9506665219108,69.8793775208476,53.7042588008236,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Indonesia,IDN,21.4915130409198,21.2429858372735,21.2337891194118,17.7675162027953,21.4995,22.5271,26.4359,35.0434,31.9291,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,"Iran, Islamic Rep.",IRN,20.0328193661696,9.44313439051108,16.7763180105145,10.8083914988029,20.4489,25.2808742,11.451706,15.868776,14.6894703,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Ireland,IRL,11.5524581707017,16.3500101750777,21.0605019966057,19.7064541314812,29.1258,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Israel,ISR,23.5883467691483,23.112033405974,23.3842740339813,29.8801633213924,33.3074,28.8446,39.9306,29.3526,41.451,..
"Stocks traded, turnover ratio of domestic shares (%)",CM.MKT.TRNR,Italy,ITA,350.01148622018,..,..,..,..,..,..,..,..,..
