Năm,GDP (USD),GDP đầu người (USD),Tăng trưởng GDP (%),Lạm phát CPI (%),Lãi suất ngân hàng (%),Tỷ lệ thất nghiệp (%),Xuất khẩu (USD),Nhập khẩu (USD),Cán cân vãng lai (USD),Chi tiêu chính phủ (% GDP),Thuế trên GDP (%),Tiêu dùng cá nhân (% GDP),Dân số,Tuổi thọ trung bình,Tăng trưởng dân số (%),FDI vào (USD),Nợ công (% GDP),Kiều hối (USD),Tổng đầu tư (% GDP)
2003,39552513231.9169,497.117089249256,6.89906349055258,3.23464817293927,2.21305791691824,2.25,22415697835.6912,26759132794.8152,-1931000000.0,,,66.2573376825557,79563777,72.98,0.999847904782733,1450000000.0,,2100000000.0,35.444857957463
2002,35064105500.8344,445.132861817313,6.32082099160833,3.83082838168467,4.16693712269503,2.12,19193787586.6357,21724925553.8467,-604000000.0,,,65.0936423262568,78772224,72.801,1.02445055878013,1400000000.0,,1770000000.0,33.2205344910613
2001,32685198808.5549,419.205677580901,6.19289331233377,-0.43154451172818,6.62403546630217,2.76,17997102361.0826,18595918551.7177,682000000.0,,,64.8550265429726,77969361,72.647,1.05123747397877,1300000000.0,,1100000000.0,31.1727734549497
2000,31172518403.3162,404.029784055118,6.78731640463151,-1.71033727851109,6.9057666506376,2.26,16808688578.4482,17922825683.9146,1106000000.0,,,66.4575248049343,77154011,72.462,1.12950984166849,1298000000.0,,1340000000.0,29.6099138223826
1999,28683659006.7752,375.994455900496,4.77358688344989,4.11710235771736,6.58752234054448,2.33,14332147613.4295,15151041598.7572,1177000000.0,,,68.6482039895785,76287452,72.317,1.30328491482511,1412000000.0,,,27.6297563146656
1998,27209602050.0452,361.350928411167,5.76445545848843,7.2661980440096,5.11047870740324,2.29,12203044874.8869,14190608828.7609,-1074000000.0,,,70.8889055086049,75299660,72.107,1.43491495510774,1671000000.0,,,29.0498785375758
1997,26843700441.5482,361.643884085566,8.1520841433542,3.20952606261374,7.33532106237832,2.87,11570361482.9776,13755189203.4817,-1528000000.0,,,71.768971025722,74226889,71.802,1.45262124184775,2220000000.0,,,28.2995826198971
1996,24657470574.7501,337.051231790277,9.34001749939179,5.67499999999994,10.4908666421004,1.93,10077135261.0313,12781756977.748,-2020000000.0,,,74.4419856195504,73156447,71.51,1.52407678637018,2395000000.0,,,28.1028981458336
1995,20736164458.9505,287.802661028593,9.54048017491264,,,1.955,6804127645.72674,8690196941.38041,,,,73.6120091571571,72049940,71.384,1.67325494682511,,,,27.1442426996138
1994,16286433533.3228,229.857787265757,8.83898095245374,,,1.972,5539525589.2744,7078095299.80118,,,,,70854391,70.759,1.80580242039077,,,,
1993,13180953598.1716,189.418573584332,8.07273065739605,,12.5772078193359,2.038,3785936655.43334,4941471554.07031,,,,,69586384,70.621,1.92400355460531,,,,
1992,9866990236.43587,144.549392371677,8.64604745934572,,,2.11,3428344546.99355,3831479524.7098,,,,,68260337,69.958,2.02528655896492,,,,
1991,9613369520.41885,143.715270231936,5.96084393218912,,,2.142,2971976968.94483,3463880947.36613,,,,,66891775,69.849,2.09563784726273,,,,
1990,6471740805.56984,98.7983370311401,5.10091813908369,,,,2332325664.6457,2930215540.32873,,,,,65504552,69.213,2.09368868105156,,,,
1989,6293304974.59403,98.1070172159577,7.36451289395819,,,,1500912820.21919,2143191577.09241,,,,,64147348,69.076,2.0539568975987,4070000.0,,,
1988,25423812648.5941,404.559305078888,5.13501167157808,,,,1003045229.32543,3814891103.64408,,,,,62843228,68.469,2.02305132101298,7679999.9,,,
1987,36658108850.3148,595.247488701606,3.5834696313072,,,,2200010145.48288,5424365692.09743,,,,,61584651,68.392,2.030063573031,10363703.7,,,
1986,26336616250.4397,436.419296772225,2.78929157479443,,,,1744152761.16778,4370865661.2733,,,,,60347048,68.013,2.15476237596871,40000.0,,,
1985,14094687820.7445,238.647805313403,3.80585566810947,,,,,,,,,,59060622,67.601,2.32020926228808,-80000.0,,,
1984,,,,,,,,,,,,,57706067,67.305,2.3994454491251,690000.0,,,
1983,,,,,,,,,,,,,56337921,67.148,2.38294420928097,131111.1,,,
1982,,,,,,,,,,,,,55011289,67.106,2.3415408609404,13050000.0,,,
1981,,,,,,,,,,,,,53738141,66.645,2.34984106682984,17910000.0,,,
1980,,,,,,,,,,,,,52490101,66.195,2.14104273585666,1666666.6,,,
1979,,,,,,,,,,,,,51378211,66.001,2.22125406032671,-60000.0,,,
1978,,,,,,,,,,,,,50249552,65.529,2.61027373200441,463333.3,,,
1977,,,,,,,,,,,,,48954872,65.049,2.62834581225948,-10000.0,,,
1976,,,,,,,,,,,,,47684931,64.775,2.55308684698776,-340000.0,,,
1975,,,,,,,,,,,,,46482903,62.882,2.32743351549493,4089999.9,,,
1974,,,,,,,,,,,,,45413537,55.83,2.23486930356709,1250000.0,,,
1973,,,,,,,,,,,,,44409861,56.786,2.23302502747562,1030000.0,,,
1972,,,,,,,,,,,,,43429168,53.103,2.28214318459982,-890000.0,,,
1971,,,,,,,,,,,,,42449276,56.749,2.3213475682191,1820000.0,,,
1970,,,,,,,,,,,,,41475230,56.222,2.17693974470409,70000.0,,,
1969,,,,,,,,,,,,,40582096,56.151,2.11044129709734,,,,
1968,,,,,,,,,,,,,39734609,54.07,2.13548066761958,,,,
1967,,,,,,,,,,,,,38895080,58.161,2.26282392922143,,,,
1966,,,,,,,,,,,,,38024836,58.467,2.38235217834686,,,,
1965,,,,,,,,,,,,,37129656,58.692,2.53137087053675,,,,
1964,,,,,,,,,,,,,36201563,59.323,2.6662269308257,,,,
1963,,,,,,,,,,,,,35249101,58.701,2.76282545445889,,,,
1962,,,,,,,,,,,,,34288560,60.131,2.59846800903446,,,,
1961,,,,,,,,,,,,,33409059,60.261,2.66049299602515,,,,
1960,,,,,,,,,,,,,32531933,59.657,,,,,
