time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-04-26,14.95,53.03,23.51,50.64,26.87,41.03,56.29,22.11,11.2,27.87,9.67,13.18,77.79,46.23,44.39,73.63,12.67,13.23,14.46,22.55,19.13,10.56,43.23,73.39,17.9,116.89,127.5,79.16,17.77,31.15
2021-04-27,15.27,53.03,23.42,50.2,26.84,40.88,56.29,21.83,11.33,28.48,9.6,13.18,80.25,46.04,43.19,73.55,12.72,13.28,14.5,23.1,19.15,10.54,43.41,73.69,17.73,117.42,127.2,78.91,17.84,30.6
2021-04-28,15.18,53.03,23.56,50.64,26.9,40.93,56.56,23.32,11.35,28.33,9.55,13.47,81.07,45.42,44.43,73.55,12.81,13.23,14.64,24.2,19.37,10.6,43.41,74.35,18.23,116.89,126.0,77.26,18.44,31.5
2021-04-29,15.56,53.03,23.8,50.55,27.61,40.98,57.67,24.02,11.52,29.39,10.04,13.52,80.25,45.71,44.7,72.38,12.81,13.25,14.87,23.9,19.88,10.65,43.85,73.17,18.49,116.45,124.9,77.09,19.61,32.0
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,15.47,53.03,23.97,49.05,29.1,42.0,57.53,23.56,11.49,30.25,10.04,13.92,78.53,45.22,44.12,69.82,12.3,13.03,15.01,24.1,21.04,10.89,43.45,73.1,18.43,118.76,124.0,75.53,19.95,31.3
2021-05-05,15.85,53.22,24.32,49.67,29.34,42.0,59.05,23.56,12.28,30.0,9.95,14.12,78.61,45.71,45.23,69.48,12.34,13.06,15.32,24.7,22.28,11.14,44.37,73.39,18.29,118.85,124.5,75.86,20.32,31.6
2021-05-06,15.63,53.22,23.94,49.4,29.03,41.89,58.64,23.6,12.17,30.05,9.71,14.08,78.28,46.07,45.14,67.57,12.6,13.5,14.98,24.4,22.84,10.95,43.54,72.73,19.46,117.78,122.0,73.88,20.72,31.2
2021-05-07,15.81,52.84,23.59,47.81,29.64,42.05,58.01,23.14,12.68,30.75,10.09,14.08,77.79,45.48,45.06,66.27,12.6,13.57,14.91,24.0,22.81,11.31,42.53,71.55,19.53,117.33,119.5,71.73,20.62,31.0
2021-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,16.26,52.09,24.03,49.49,30.32,43.47,59.4,23.0,13.02,31.87,10.18,14.79,83.2,44.8,47.37,65.19,12.34,13.82,15.83,24.3,23.32,12.09,43.01,73.02,19.63,117.78,119.2,76.68,20.89,31.75
2021-05-11,16.08,51.8,24.43,49.4,29.91,43.16,58.91,23.56,12.68,31.36,10.11,14.57,83.12,44.61,47.1,65.92,12.09,13.82,15.6,24.65,22.79,12.05,42.93,72.21,20.39,116.45,119.0,75.2,21.12,31.0
2021-05-12,16.23,51.8,24.75,50.11,30.46,43.26,59.67,25.19,12.76,31.72,10.37,14.79,85.16,45.26,47.37,65.71,12.19,13.82,15.87,26.35,23.88,12.42,42.66,71.99,20.49,115.38,119.0,75.69,21.46,31.2
2021-05-13,16.26,51.61,24.72,49.05,31.47,42.55,59.12,24.72,12.8,31.11,10.69,14.68,84.34,45.42,47.99,66.79,13.37,13.97,15.99,26.3,23.28,12.25,42.44,71.48,20.36,112.45,117.0,74.62,21.82,30.9
2021-05-14,16.37,51.52,24.58,49.23,31.81,42.96,58.08,24.54,13.19,31.06,10.9,14.7,88.52,46.23,48.7,67.09,14.71,14.93,16.1,26.4,23.59,12.42,42.49,71.62,20.72,111.38,117.9,73.8,22.33,30.65
2021-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
