time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-06-18,19.59,51.42,26.52,53.81,34.52,48.68,63.88,31.16,14.28,35.36,13.35,18.02,84.34,45.42,49.94,72.12,13.99,18.26,23.29,29.5,24.54,13.78,45.73,80.17,23.28,104.0,115.4,76.3,22.09,32.05
2021-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,19.45,50.1,26.03,52.22,33.84,48.97,63.95,31.63,14.16,35.23,13.31,17.86,85.98,45.61,50.56,73.2,13.68,19.25,22.73,29.35,24.24,13.69,46.48,81.79,23.47,104.27,113.8,75.63,22.09,31.7
2021-06-22,19.56,50.19,26.06,52.75,33.91,50.26,64.58,32.0,14.2,35.23,13.35,18.22,87.95,45.26,51.99,72.38,13.83,19.2,22.83,29.85,24.39,13.69,46.7,82.16,23.38,104.09,114.0,75.63,21.96,31.5
2021-06-23,20.04,51.14,26.06,51.17,35.13,49.5,64.09,30.88,14.47,35.16,13.45,18.49,87.21,46.72,51.08,72.38,13.83,19.27,22.87,29.75,24.54,13.82,46.92,80.24,23.52,103.56,114.4,74.88,22.76,31.4
2021-06-24,19.98,50.19,26.12,51.08,35.94,49.38,64.85,31.02,14.39,34.74,13.63,18.57,86.47,46.65,50.44,73.63,13.73,19.25,23.1,28.85,24.54,13.78,47.27,81.05,23.19,103.82,115.0,73.71,22.93,31.45
2021-06-25,20.24,50.29,25.94,50.37,35.46,49.56,65.68,32.19,14.47,34.26,13.63,18.4,85.98,46.55,50.53,72.98,13.73,19.25,23.43,28.9,24.44,13.71,47.75,82.23,22.72,103.73,115.0,74.05,22.76,31.6
2021-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
