time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2024-06-13,24.9,63.63,39.96,45.34,34.15,132.88,73.71,35.62,19.41,29.7,22.77,20.61,78.8,63.89,43.3,62.83,10.44,19.1,28.81,31.9,24.8,15.49,59.6,38.7,19.74,43.5,106.6,64.63,19.8,22.05
2024-06-14,24.9,63.63,40.29,45.19,33.95,131.69,73.35,35.37,19.41,29.95,23.85,20.87,80.3,63.69,42.55,60.77,10.44,20.07,29.04,31.9,24.78,15.49,59.6,38.85,19.7,43.25,106.2,64.53,19.5,21.85
2024-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-17,24.6,62.25,39.25,43.87,32.95,130.49,72.16,33.59,19.21,29.95,23.63,20.35,78.0,62.3,40.8,60.12,10.14,20.25,28.3,30.8,24.52,15.16,58.73,38.5,19.23,42.95,105.4,63.86,19.05,21.6
2024-06-18,24.7,61.66,38.88,44.51,32.85,128.81,71.89,33.98,19.01,29.7,23.37,20.48,77.3,62.01,41.3,59.75,10.14,20.33,28.34,31.15,24.55,15.2,59.2,38.5,19.06,42.95,105.0,63.76,19.1,21.35
2024-06-19,24.7,61.76,38.68,44.95,32.55,131.88,71.71,33.69,19.01,29.55,23.25,20.39,76.7,63.2,41.5,59.65,10.1,20.33,28.34,31.2,24.5,15.2,58.53,38.35,19.02,42.45,104.8,63.28,19.2,21.2
2024-06-20,24.85,64.22,38.18,45.14,32.55,134.76,71.8,33.69,19.01,29.4,23.8,20.39,76.2,63.0,42.1,58.63,10.1,20.69,28.34,31.1,25.15,15.25,57.93,38.0,18.89,41.8,103.9,64.05,19.8,20.8
2024-06-21,24.85,63.83,38.39,44.75,32.45,135.16,71.89,34.53,18.89,29.35,24.66,20.31,77.5,64.19,42.65,58.63,10.1,21.13,28.11,31.35,24.95,15.29,57.99,37.8,18.8,41.65,104.0,64.34,19.85,20.3
2024-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-24,24.6,63.04,38.3,44.56,32.35,134.57,71.34,34.08,18.61,29.1,25.09,20.17,76.3,63.0,42.8,58.72,10.01,21.08,27.71,30.75,24.5,15.08,58.46,38.2,18.63,42.3,103.0,63.86,19.6,20.5
2024-06-25,24.2,62.06,37.77,43.77,31.9,130.2,70.25,33.39,18.17,29.05,24.66,19.87,74.5,62.2,41.4,57.69,9.88,19.94,27.21,29.8,24.0,14.67,57.99,38.05,18.38,42.0,102.0,63.48,19.2,21.3
2024-06-26,24.1,65.01,37.02,43.77,31.65,130.89,69.98,35.62,18.17,29.2,24.87,19.7,74.5,62.7,42.45,56.76,9.88,19.32,27.05,29.65,24.0,14.62,57.73,38.15,18.33,41.7,102.0,63.09,19.1,21.5
2024-06-27,24.1,66.68,37.19,46.36,31.4,133.17,70.8,36.46,18.61,29.05,24.83,19.65,75.2,63.1,42.5,57.6,9.88,18.66,26.97,29.5,23.7,14.62,57.53,37.85,18.25,41.4,102.1,62.9,19.05,20.95
2024-06-28,24.0,64.81,36.86,45.63,31.45,131.88,70.25,35.72,18.41,28.9,24.66,19.61,76.2,63.1,41.8,57.23,10.01,18.31,26.9,29.4,23.5,14.58,57.53,37.75,18.16,41.35,102.1,63.28,19.3,21.2
2024-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-01,23.85,63.24,36.28,45.34,32.0,129.5,70.71,34.13,18.53,28.5,24.14,19.52,76.2,65.8,41.4,56.85,10.05,18.35,26.62,29.35,23.1,14.46,57.66,37.7,18.12,41.4,101.7,63.28,19.05,21.85
2024-07-02,24.1,62.94,37.85,47.0,32.35,131.19,71.25,34.48,19.37,28.85,25.43,19.87,76.8,66.0,41.35,57.13,10.27,18.4,26.82,29.75,23.2,14.67,59.4,38.35,18.38,41.75,101.2,63.57,19.2,22.0
2024-07-03,24.4,63.24,39.01,46.9,32.5,131.88,71.44,34.78,19.61,29.1,25.9,19.96,76.6,66.4,42.2,57.41,10.23,18.44,27.01,30.1,23.55,14.75,59.33,38.2,18.38,41.65,101.2,63.57,19.2,21.6
2024-07-04,24.35,63.04,39.17,46.71,32.5,134.86,72.53,35.22,19.69,29.05,26.84,20.0,77.8,66.3,44.3,57.97,10.18,18.49,27.17,29.95,23.55,14.83,60.0,38.5,18.38,41.7,101.4,64.15,19.45,21.7
2024-07-05,24.3,63.04,39.83,46.17,32.85,138.74,72.16,35.12,19.69,28.95,28.25,19.87,77.0,65.8,44.4,57.53,10.18,18.4,27.05,30.15,23.5,14.75,59.67,38.5,18.16,41.45,101.8,64.72,19.3,21.4
2024-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07-08,24.35,64.42,39.5,45.92,32.75,138.64,71.98,36.16,19.61,29.05,28.08,19.96,77.0,67.4,46.6,55.98,10.18,18.4,27.36,30.3,23.5,15.04,59.33,38.4,18.29,41.4,102.0,64.91,19.3,20.8
2024-07-09,24.4,66.09,39.67,46.8,32.8,138.34,71.89,38.15,20.25,29.2,27.83,20.13,76.5,67.2,46.6,56.46,10.27,18.4,27.25,30.4,23.5,15.0,59.13,38.3,18.38,40.95,101.5,65.01,19.45,20.7
2024-07-10,24.5,65.8,39.58,46.46,32.85,136.05,72.53,37.95,20.33,29.5,27.36,20.52,77.5,66.8,47.05,55.6,10.31,18.44,27.13,30.45,23.45,15.0,59.67,38.4,18.5,40.95,101.5,65.01,19.55,21.05
