time,open,high,low,close,volume
2024-08-20,93.73,94.23,93.61,94.1,43307400
2024-08-21,94.11,94.48,94.07,94.48,50278300
2024-08-22,94.49,94.79,94.23,94.49,31676300
2024-08-23,94.49,94.58,93.96,94.41,44769100
2024-08-26,94.4,94.75,93.9,94.16,31620300
2024-08-27,94.16,94.21,93.79,94.15,29834700
2024-08-28,94.15,94.31,93.66,94.13,29554800
2024-08-29,94.14,94.3,93.57,93.85,21907900
2024-08-30,93.85,94.17,93.73,94.17,29795800
2024-09-04,94.17,94.2,93.47,93.75,31179200
2024-09-05,93.76,94.07,93.25,93.47,30349800
2024-09-06,93.47,93.8,92.96,93.37,31515800
2024-09-09,93.37,93.43,92.83,93.0,22029300
2024-09-10,93.01,93.28,92.29,92.36,28783600
2024-09-11,92.36,92.5,91.81,92.32,22299200
2024-09-12,92.32,92.76,92.05,92.73,19241900
2024-09-13,92.73,93.0,92.34,92.95,27909500
2024-09-16,92.95,93.14,92.01,92.57,21138900
2024-09-17,92.58,93.12,92.22,93.12,23617800
2024-09-18,93.12,93.47,92.89,93.47,35419600
2024-09-19,93.48,93.63,92.34,93.63,37629200
2024-09-20,93.63,94.01,93.34,93.63,52320800
2024-09-23,93.64,93.85,93.17,93.65,25879100
2024-09-24,93.66,93.93,93.35,93.81,28065700
2024-09-25,93.81,93.82,93.02,93.5,38644500
2024-09-26,93.5,93.7,93.23,93.5,53702800
2024-09-27,93.52,94.34,93.4,93.9,71051700
2024-09-30,93.96,94.17,93.08,93.56,39886600
2024-10-01,93.57,93.76,93.18,93.28,49987700
2024-10-02,93.28,93.33,92.77,93.28,35734100
2024-10-03,93.29,93.68,92.54,92.68,52702700
2024-10-04,92.69,92.84,92.11,92.37,39604200
2024-10-07,92.37,92.87,92.11,92.47,25846900
2024-10-08,92.47,92.72,92.08,92.45,32824100
2024-10-09,92.45,92.53,91.95,92.45,27164700
2024-10-10,92.45,92.95,92.34,92.57,31045800
2024-10-11,92.58,92.74,92.13,92.6,36283000
2024-10-14,92.6,92.93,92.26,92.38,26648100
2024-10-15,92.39,92.65,91.96,92.17,38610600
2024-10-16,92.18,92.44,91.9,92.32,20650900
2024-10-17,92.32,92.7,91.96,92.7,23426700
2024-10-18,92.7,93.0,92.51,92.7,29426300
2024-10-21,92.7,92.87,91.99,92.14,29049200
2024-10-22,92.15,92.17,91.61,91.73,34284600
2024-10-23,91.73,92.12,91.42,92.12,19934900
2024-10-24,92.13,92.23,91.78,92.06,27924200
2024-10-25,92.06,92.09,91.46,91.82,42322400
2024-10-28,91.83,92.15,91.82,92.15,17695900
2024-10-29,92.15,92.4,91.93,92.32,19235800
2024-10-30,92.33,92.82,92.07,92.46,24912600
2024-10-31,92.47,92.56,92.05,92.38,28369100
2024-11-01,92.39,92.51,91.63,91.96,35940600
2024-11-04,91.97,92.2,91.46,91.61,20426300
2024-11-05,91.61,91.91,91.56,91.9,16078500
2024-11-06,91.91,92.72,91.86,92.71,24900700
2024-11-07,92.72,92.88,92.21,92.32,19318700
2024-11-08,92.33,92.45,91.9,92.15,29704000
2024-11-11,92.16,92.4,91.88,92.4,32821700
2024-11-12,92.4,92.83,92.12,92.39,24573400
2024-11-13,92.39,92.42,91.65,92.35,28145100
2024-11-14,92.35,92.38,91.73,91.87,31263100
2024-11-15,91.87,91.92,91.16,91.33,39479500
2024-11-18,91.34,91.86,91.03,91.64,23915000
2024-11-19,91.67,91.68,90.15,90.3,22077000
2024-11-20,90.3,91.12,90.24,91.09,26523300
2024-11-21,91.1,91.54,90.98,91.5,26470000
2024-11-22,91.51,91.83,90.98,91.7,31446400
2024-11-25,91.7,91.9,91.18,91.82,18992900
2024-11-26,91.82,92.24,91.55,92.06,20028600
2024-11-27,92.07,92.36,91.46,91.96,24413100
2024-11-28,91.97,92.6,91.84,92.35,22909400
2024-11-29,92.35,92.74,92.05,92.74,29072200
2024-12-02,92.74,92.85,92.3,92.44,20353900
2024-12-03,92.45,92.67,91.99,92.44,20136800
2024-12-04,92.44,92.57,92.02,92.44,23092300
2024-12-05,92.47,92.95,92.19,92.95,41983600
2024-12-06,92.95,93.21,92.55,92.81,42647000
2024-12-09,92.81,93.0,92.43,92.91,27096700
2024-12-10,92.91,93.23,92.45,92.74,39142900
2024-12-11,92.74,93.23,92.5,92.74,39343700
2024-12-12,92.75,93.01,92.43,92.68,32515600
2024-12-13,92.68,92.92,92.33,92.54,41950000
2024-12-16,92.54,92.9,92.37,92.64,26681700
2024-12-17,92.58,92.98,92.39,92.77,22708900
2024-12-18,92.77,93.14,92.77,93.07,39745100
2024-12-19,93.07,93.12,92.29,92.73,42545000
2024-12-20,92.73,93.41,92.64,93.39,66522700
2024-12-23,93.14,93.74,93.14,93.72,43975000
2024-12-24,93.72,94.08,93.55,94.02,56636500
2024-12-25,94.02,94.61,93.96,94.59,62221600
2024-12-26,94.6,94.98,94.17,94.41,42933900
2024-12-27,94.22,94.78,94.12,94.48,56483500
2024-12-30,94.48,95.0,94.14,95.0,26626600
2024-12-31,95.01,95.32,94.6,95.06,37381700
