"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bangladesh","BGD","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","3686015583.33333","4183360000","4154454187.5","4514922666.66667","4511238833.33333","","","","","","","","","","","","","","","","","16355630354.9572","14966067864.2715","14728577441.0774","16816520000","18146884615.3846","17547166666.6667","19865677419.3548","21809646736.8703","23187353469.617","25291457429.0907","25165490196.0784","25901193633.9523","27444259259.2593","27694688279.3017","31202910447.7612","36617726161.3692","37609812646.37","38107533039.6476","39084920965.0582","40031663685.1521","40235841363.9733","40571565383.9457","44930345423.1433","47944436894.8531","51248319993.3002","52499417440.7846","58827560189.47","69307178911.8219","76419661795.7796","85436063406.0155","95530241860.9667","98299205785.8159","109270901486.57","125468200069.017","141358914056.472","177340893036.799","196542010320.222","217207965277.285","234894700483.893","250383687973.973","286292630441.326","317843355095.822","299958946776.123",
"Bulgaria","BGR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","10978000000","9669000000","9631066666.66667","8434500000","8759000000","8858052631.57895","10248588235.2941","14629461538.4615","11185294117.6471","11454666666.6667","12345000000","5921451612.90323","6791494845.36082","7960498659.1288","7179520295.20295","10921379762.0997","9076187959.90758","7405365665.4254","8433722004.27413","8874820699.78778","8805501877.99508","9729731387.444","11198001901.8043","14377562904.6426","17880218448.374","20538239144.9769","22996600966.9928","30448885934.2197","35771507654.1544","32763220378.0216","32570255541.2458","36162740018.504","35613410628.654","34890882053.3714","35898428202.6898","31541412525.5276","32665834512.4229","35735197250.6209","39625773202.1013","40627618911.3388","41040216083.6302","48907247384.6526","52500543770.8625","59117199697.475",
"Bahrain","BHR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","982489254.44415","1137500000","1257712234.04255","1280851063.82979","1335638563.82979","1082446808.51064","984574734.042553","1193882978.7234","1391755319.14894","1537500265.95745","1624468085.10638","2707180851.06383","2807180851.06383","2926595744.68085","2902925531.91489","3101861702.12766","3273404255.31915","3396808510.6383","3530585106.38298","3665957446.80851","4047845744.68085","4203989361.70213","4326648936.17021","4752606382.97872","6255345744.68085","6344920212.76596","6426170212.76596","6869521276.59575","8866808510.6383","9383936170.21277","10589680851.0638","11245638297.8723","11686276595.7447","13266489361.7021","13520851063.8298","14128297872.3404","14490851063.8298","14883909574.4681","15404494680.8511","15616755319.1489","14586250000","15498936170.2128","17160053191.4894","17999335106.383",
"Bahamas, The","BHS","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","396800000","483500000","751000000","823900000","888900000","932200000","994300000","1335600000","1458599900","1570700000","1727700000","","1914520000","1989060000","2051090000","2008330000","2061840000","2131060000","2333910000","2513240000","3758600000","4136400000","4457700000","4627100000","5035700000","5040100000","5136400000","5295900000","5845600000","6256100000","6415100000","6447700000","6048200000","6227300000","6341300000","6814600000","6754300000","7184100000","7536700000","7652200000","8245400000","8434000000","7976800000","6520500000","8047800000","8674600000","9672300000",
"Bosnia and Herzegovina","BIH","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5616113544.93466","5863264871.938","6566810318.69385","8310788074.77731","9558876670.70648","10411703594.1508","11397617043.9851","13569066544.9968","16286293098.5413","14869479668.5255","14387457372.3201","15517530067.089","14606299984.8904","15207100704.592","15384126786.0062","13009603672.713","13237376133.8899","13836574460.6429","15026243448.1905","14816692481.0799","14548786525.0994","16125127751.1088","16549505573.525","18853890359.4566",
"Belarus","BLR","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8232931726.90763","8179959100.2045","8654023200.1473","9153696176.59694","8867558933.14044","8256109502.61699","8854769230.76923","8062904468.41294","8805050942.98721","7118263136.78299","7248577643.90897","7119388489.20863","8682688227.27983","10183739829.4715","12433133048.7997","15705583567.8005","19026327078.7481","23457839409.5281","31565109530.0506","28595513864.7715","31846728733.4943","30081694517.9843","31563134978.2293","38712676167.3639","41634960534.4236","29851833386.8099","26014255391.7619","29801142861.8743","32148479982.4107","34757907488.4919","32057632989.3527","35444080081.1447","39418719774.5707","39337290305.4184",
"Belize","BLZ","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","96477473.5","103104266","100010628.5","97387898.5","93474635","100973890","96919896.5","118738517.5","139090163.5","163778994.5","197000000","220500000","402000000","423500000","456000000","489000000","519500000","586500000","633000000","665500000","722000000","779500000","849500000","897500000","928500000","949500000","963500000","1023000000","1076000000","1048000000","1089000000","1125500000","1182000000","1290000000","1343000000","1346000000","1365500000","1372000000","1417500000","1476000000","1284500000","1522000000","1821500000","1927571850",
"Bermuda","BMU","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3172347000","3124118000","3110046000","3135554000","3142675000","3237728000","3368443000","3512954000","3524565000","3576303000","3288352000","3428400000","3693643000","3900100000",
"Bolivia","BOL","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","313583333.333333","351166666.666667","376333333.333333","400916666.666667","420416666.666667","459166666.666667","512500000","586166666.666667","642666666.666667","691666666.666667","741916666.666667","822500000","933846153.846154","888800000","1419000000","1750900000","1973000000","2324450000","2637000000","3036600000","2994160000","4064920000","4083453125","3976900862.06897","4268159438.77551","3966672821.56403","3222024901.1685","3466536703.40901","3632300078.88549","3637432041.58885","3741315982.53826","4158862908.19883","4483743180.71169","4551710294.96964","4641137409.515","5091336283.95644","5557184549.2818","5921552481.8157","6378084430.99286","6365971211.93144","6413064906.81231","6129826195.78844","5835733207.81032","5739566874.57004","5957809438.00403","6332737313.44986","7188879161.34783","8295226413.13575","10375367340.0226","11358006737.8917","12241478625.1079","14546680434.4611","16116291374.8191","18452846555.7164","20766959304.2528","22578642598.8019","23388629610.2757","25376260924.9605","26996904866.3629","27990672551.2061","25436246724.1569","27170272041.5815","29408978217.5178","30913430928.2226",
"Brazil","BRA","Households and NPISHs Final consumption expenditure (current US$)","NE.CON.PRVT.CD","10051138972.4315","9760602842.81603","13956529618.205","15638607058.8764","14631217231.9027","14582684401.451","18436142915.7175","21886420484.8801","23902617597.0186","25009958476.5274","29017107274.6442","34238487325.4386","40778949205.9812","53545412119.2523","74371827324.778","82255120099.1262","104981221085.954","121841260949.32","137669580413.724","156458585051.017","163832188816.919","179159690538.868","195953143011.723","144841725772.537","147051346357.412","146645680638.935","181718680612.826","183109920513.729","196278359957.464","223550832415.1","275750164544.787","210892045454.545","201901024065.54","221278689552.473","313316309705.063","490114688552.601","554115745995.423","576818685389.131","554003952893.409","387849177560.582","423371712337.715","358992675533.871","315555296345.009","345237708511.036","402956254155.814","539476383693.656","669423745487.46","836521566178.306","1012947683866.05","1032811980076.3","1330224581819.17","1576858124291.25","1513942415398.53","1526106760481.59","1546314587080.4","1152781384584.59","1153759631662.93","1330849670848.65","1238647444664.15","1220335756226.88","932073163492.48","1025242839640.58","1230963321514.26","1376551743920.17",
