period,quarter,year,price_to_earning,price_to_book,roe,earning_per_share,equity_on_liability,asset_on_equity,equity_on_total_asset,roa,payable_on_equity,book_value_per_share_change,eps_change,book_value_per_share,company
2016-Q3,3,2016,14.3,1.2,0.089,433.0,0.1,16.7,0.06,0.006,15.7,0.025,0.044,5079.0,ACB
2016-Q2,2,2016,15.6,1.3,0.087,415.0,0.1,16.6,0.06,0.005,15.6,0.022,0.059,4955.0,ACB
2016-Q1,1,2016,15.9,1.3,0.082,392.0,0.1,16.0,0.062,0.005,15.0,0.025,0.029,4849.0,ACB
2015-Q4,4,2015,17.7,1.4,0.082,381.0,0.1,15.8,0.063,0.005,14.8,0.014,0.063,4732.0,ACB
2015-Q3,3,2015,18.4,1.4,0.077,358.0,0.1,15.3,0.065,0.005,14.3,0.022,0.021,4668.0,ACB
2015-Q2,2,2015,19.9,1.5,0.077,351.0,0.1,15.4,0.065,0.005,14.4,-0.027,-0.034,4567.0,ACB
2015-Q1,1,2015,15.0,1.2,0.077,363.0,0.1,14.8,0.068,0.005,13.8,0.023,0.032,4692.0,ACB
2024-Q4,4,2024,39.7,4.3,0.112,2034.0,0.5,3.0,0.33,0.038,1.9,0.013,-0.244,18729.0,BCM
2024-Q3,3,2024,25.7,3.7,0.154,2692.0,0.6,2.8,0.351,0.054,1.7,0.017,0.048,18486.0,BCM
2024-Q2,2,2024,24.5,3.5,0.149,2569.0,0.6,2.9,0.343,0.051,1.8,0.011,0.078,18185.0,BCM
2024-Q1,1,2024,26.8,3.6,0.139,2384.0,0.6,2.9,0.344,0.048,1.8,0.022,0.011,17984.0,BCM
2023-Q4,4,2023,26.3,3.5,0.139,2358.0,0.6,2.9,0.342,0.048,1.8,0.066,4.466,17597.0,BCM
2023-Q3,3,2023,156.5,4.1,0.026,431.0,0.6,2.9,0.345,0.009,1.8,0.01,0.033,16506.0,BCM
2023-Q2,2,2023,184.2,4.7,0.025,417.0,0.6,2.9,0.348,0.009,1.7,-0.003,-0.659,16348.0,BCM
2023-Q1,1,2023,65.6,4.9,0.076,1227.0,0.6,2.9,0.349,0.026,1.7,0.007,-0.208,16392.0,BCM
2022-Q4,4,2022,50.6,4.8,0.099,1548.0,0.6,2.9,0.347,0.033,1.7,-0.037,-0.125,16286.0,BCM
2022-Q3,3,2022,49.4,5.2,0.112,1769.0,0.6,2.8,0.356,0.038,1.6,0.008,0.092,16910.0,BCM
2022-Q2,2,2022,39.9,3.9,0.102,1620.0,0.6,2.9,0.348,0.034,1.7,0.049,0.351,16775.0,BCM
2022-Q1,1,2022,59.0,4.4,0.076,1198.0,0.5,3.0,0.334,0.026,1.8,0.057,-0.025,15989.0,BCM
2021-Q4,4,2021,50.9,4.1,0.081,1229.0,0.5,3.1,0.323,0.026,1.9,0.027,-0.278,15133.0,BCM
2021-Q3,3,2021,26.0,3.0,0.116,1702.0,0.5,3.2,0.316,0.037,2.0,-0.013,-0.234,14738.0,BCM
2021-Q2,2,2021,24.1,3.6,0.153,2221.0,0.5,3.1,0.319,0.049,1.9,-0.05,0.093,14939.0,BCM
2021-Q1,1,2021,27.8,3.6,0.135,2032.0,0.6,2.8,0.351,0.047,1.7,0.045,0.075,15718.0,BCM
2020-Q4,4,2020,21.4,2.7,0.133,1891.0,0.5,3.1,0.323,0.043,1.9,0.031,-0.04,15048.0,BCM
2020-Q3,3,2020,20.0,2.7,0.144,1971.0,0.5,3.1,0.324,0.045,1.9,0.029,0.048,14592.0,BCM
2020-Q2,2,2020,13.6,1.8,0.141,1880.0,0.6,3.0,0.331,0.044,1.8,-0.017,-0.132,14187.0,BCM
2020-Q1,1,2020,7.4,1.1,0.163,2167.0,0.6,2.9,0.339,0.051,1.7,0.075,-0.113,14429.0,BCM
2019-Q4,4,2019,12.0,2.2,0.199,2444.0,0.5,3.1,0.319,0.057,1.9,0.044,-0.003,13418.0,BCM
2019-Q3,3,2019,12.4,2.4,0.201,2450.0,0.5,3.3,0.3,0.052,2.1,0.033,0.04,12850.0,BCM
2019-Q2,2,2019,10.2,1.9,0.198,2357.0,0.4,3.5,0.286,0.049,2.2,0.016,0.044,12439.0,BCM
2024-Q4,4,2024,11.3,1.9,0.192,3511.0,0.1,19.1,0.052,0.01,18.1,0.044,0.054,20581.0,BID
2024-Q3,3,2024,12.3,2.1,0.189,3333.0,0.1,18.6,0.054,0.01,17.6,0.028,0.025,19716.0,BID
2024-Q2,2,2024,11.0,1.9,0.191,3252.0,0.1,18.7,0.053,0.01,17.7,0.044,0.043,19186.0,BID
2024-Q1,1,2024,13.8,2.3,0.191,3118.0,0.1,18.0,0.055,0.01,17.0,0.05,0.016,18375.0,BID
2023-Q4,4,2023,11.7,2.0,0.198,3069.0,0.1,18.7,0.053,0.01,17.7,0.032,0.102,17506.0,BID
2023-Q3,3,2023,11.7,1.9,0.186,2785.0,0.1,17.9,0.056,0.009,16.9,0.043,-0.034,16960.0,BID
2023-Q2,2,2023,11.0,2.0,0.202,2884.0,0.1,18.6,0.054,0.01,17.6,0.039,0.013,16257.0,BID
2023-Q1,1,2023,11.9,2.2,0.209,2846.0,0.1,19.2,0.052,0.01,18.2,0.036,0.085,15644.0,BID
2022-Q4,4,2022,10.8,1.9,0.198,2622.0,0.1,20.3,0.049,0.009,19.3,0.033,0.115,15107.0,BID
