symbol,organ_name,icb_name2,icb_name3,icb_name4
DHN,Công ty Cổ phần Dược phẩm Hà Nội,Y tế,Dược phẩm,Dược phẩm
HTC,Công ty Cổ phần Thương mại Hóc Môn,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt
HPB,Công ty Cổ phần Bao bì PP,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói
HCT,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch
CCP,Công ty Cổ phần Cảng Cửa Cấm Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CTN,Công ty Cổ phần Xây dựng Công trình ngầm,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
HQC,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Bất động sản,Bất động sản,Bất động sản
HPG,Công ty Cổ phần Tập đoàn Hòa Phát,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HNI,Công ty Cổ phần May Hữu Nghị,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Bất động sản,Bất động sản,Bất động sản
DIC,Công ty Cổ phần Đầu tư và Thương mại DIC,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CCM,Công ty Cổ phần Khoáng sản và Xi măng Cần Thơ,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm
BVL,Công ty Cổ phần BV Land,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
TUG,Công ty Cổ phần Lai dắt và Vận tải Cảng Hải Phòng,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ,Bán lẻ,Bán lẻ phức hợp
CMX,Công ty Cổ phần CAMIMEX Group,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
IDP,Công ty Cổ phần Sữa Quốc tế LOF,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Bất động sản,Bất động sản
HHP,Công ty Cổ phần HHP Global,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy
BII,Công ty Cổ phần Đầu tư và Phát triển Công nghiệp Bảo Thư,Bất động sản,Bất động sản,Bất động sản
HRC,Công ty Cổ phần Cao su Hòa Bình,Hóa chất,Hóa chất,"Nhựa, cao su & sợi"
FLC,Công ty Cổ phần Tập đoàn FLC,Bất động sản,Bất động sản,Bất động sản
HJC,Công ty Cổ phần Hoà Việt,Hàng cá nhân & Gia dụng,Thuốc lá,Thuốc lá
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
ART,Công ty Cổ phần Chứng khoán BOS,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
TAB,Công ty Cổ phần Freco Việt Nam,Hàng & Dịch vụ Công nghiệp,Vận tải,Dịch vụ vận tải
TCH,Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy,Bất động sản,Bất động sản,Bất động sản
CCR,Công ty Cổ phần Cảng Cam Ranh,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng"
ALT,Công ty Cổ phần Văn hóa Tân Bình,Truyền thông,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa"
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
SGI,Công ty Cổ phần Đầu tư phát triển Sài Gòn 3 Group,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
HU6,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,Bất động sản,Bất động sản,Bất động sản
ALV,Công ty Cổ phần Xây dựng ALVICO,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
CTR,Tổng Công ty Cổ phần Công trình Viettel,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BVH,Tập đoàn Bảo Việt,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ
HAC,Công ty Cổ phần Chứng khoán Hải Phòng,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán
ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
BDT,Công ty Cổ phần Xây lắp và Vật liệu xây dựng Đồng Tháp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
GTT,Công ty Cổ phần Thuận Thảo,Du lịch và Giải trí,Du lịch & Giải trí,Dịch vụ giải trí
CAR,Công ty cổ phần Tập đoàn Giáo dục Trí Việt,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Đào tạo & Việc làm
BVN,Công ty Cổ phần Bông Việt Nam,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng cá nhân
HTN,Công ty Cổ phần Hưng Thịnh Incons,Bất động sản,Bất động sản,Bất động sản
CC4,Công ty Cổ phần Đầu tư và Xây dựng số 4,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
IBC,Công ty Cổ phần Đầu tư APAX Holdings,Dịch vụ tài chính,Dịch vụ tài chính,Tài chính đặc biệt
HPM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
DTC,Công ty Cổ phần Viglacera Đông Triều,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản"
TOS,Công ty Cổ phần Dịch vụ biển Tân Cảng,Dầu khí,"Thiết bị, Dịch vụ và Phân phối Dầu khí",Thiết bị và Dịch vụ Dầu khí
HVA,Công ty Cổ phần Đầu tư HVA,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
DPH,Công ty Cổ phần Dược phẩm Hải Phòng,Y tế,Dược phẩm,Dược phẩm
DZM,Công ty Cổ phần Cơ điện Dzĩ An,Hàng & Dịch vụ Công nghiệp,Công nghiệp nặng,Máy công nghiệp
DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Bất động sản,Bất động sản
CC1,Tổng Công ty Xây dựng số 1 - CTCP,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
PHN,Công ty Cổ phần Pin Hà Nội,Hàng & Dịch vụ Công nghiệp,Điện tử & Thiết bị điện,Hàng điện & điện tử
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Bất động sản,Bất động sản,Bất động sản
HKT,Công ty Cổ phần Đầu tư QP Xanh,Thực phẩm và đồ uống,Bia và đồ uống,Đồ uống & giải khát
HSL,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm
IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản,Bất động sản,Bất động sản
DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng
TNH,Công ty Cổ phần Tập đoàn Bệnh viện TNH,Y tế,Thiết bị và Dịch vụ Y tế,Chăm sóc y tế
AVF,Công ty Cổ phần Việt An,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
TTS,Công ty Cổ phần Cán thép Thái Trung,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép
HCB,Công ty Cổ phần Dệt may 29/3,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc
AVC,Công ty Cổ phần Thủy điện A Vương,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện
ILA,Công ty Cổ phần ILA,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản
